"price","lotsize","stories","gasheat"
60000,2325,2,"no"
69500,4350,1,"no"
72000,3540,1,"no"
92500,3960,1,"no"
40500,2640,1,"no"
42000,2700,1,"no"
47900,2700,1,"no"
52000,3180,2,"no"
62000,3500,2,"no"
41000,3630,1,"no"
138300,6000,2,"yes"
42000,3150,2,"no"
47000,3792,2,"no"
64500,3510,3,"no"
46000,3120,2,"no"
58000,3000,3,"no"
70100,4200,2,"no"
78500,2817,2,"no"
87250,3240,3,"no"
70800,2800,2,"no"
56000,3816,1,"no"
48000,3185,1,"no"
68000,6321,2,"no"
79000,3650,2,"no"
80000,4700,2,"no"
87000,6615,2,"yes"
25000,3850,2,"no"
32500,3970,1,"no"
36000,3000,2,"no"
42500,4352,2,"no"
43000,3630,2,"no"
50000,3600,2,"no"
26000,3000,1,"no"
30000,3000,2,"no"
34000,2787,2,"no"
52000,3000,2,"no"
70000,4770,1,"no"
27000,3649,1,"no"
32500,3970,2,"no"
37200,2910,1,"no"
38000,3480,1,"no"
42000,6615,2,"no"
44500,3500,1,"no"
45000,3450,2,"no"
48500,3450,1,"no"
52000,3520,1,"no"
53900,6930,2,"no"
60000,4600,2,"no"
61000,4360,2,"no"
64500,3450,2,"no"
71000,4410,2,"no"
75500,4600,1,"no"
33500,3640,1,"no"
41000,6000,1,"no"
41000,5400,2,"no"
46200,3640,2,"no"
48500,3640,1,"no"
48900,4040,1,"no"
50000,3640,1,"no"
51000,3640,1,"no"
52500,5640,1,"no"
52500,3600,1,"no"
54000,3600,1,"no"
59000,4632,2,"no"
60000,3640,2,"no"
63000,4900,2,"no"
64000,4510,2,"no"
64900,4100,1,"no"
65000,3640,2,"no"
66000,5680,2,"no"
70000,6300,1,"no"
65500,4000,2,"no"
57000,3960,2,"no"
52000,5960,2,"no"
54000,5830,1,"no"
74500,4500,1,"no"
90000,4100,3,"no"
45000,6750,1,"no"
45000,9000,2,"no"
65000,2550,2,"no"
55000,7152,2,"no"
62000,6450,2,"no"
30000,3360,1,"no"
34000,3264,1,"no"
38000,4000,1,"no"
39000,4000,2,"no"
45000,3069,1,"no"
47000,4040,1,"no"
47500,4040,1,"no"
49000,3185,1,"no"
50000,5900,1,"no"
50000,3120,2,"no"
52900,5450,1,"no"
53000,4040,1,"no"
55000,4080,1,"no"
56000,8080,1,"no"
58500,4040,2,"no"
59500,4080,2,"no"
60000,5800,1,"yes"
64000,5885,1,"no"
67000,9667,2,"no"
68100,3420,2,"no"
70000,5800,1,"no"
72000,7600,2,"no"
57500,5400,1,"no"
69900,4995,1,"no"
70000,3000,2,"no"
75000,5500,1,"no"
76900,6450,1,"yes"
78000,6210,4,"no"
80000,5000,4,"no"
82000,5000,3,"no"
83000,5828,4,"no"
83000,5200,3,"no"
83900,5500,3,"no"
88500,6350,3,"no"
93000,8250,3,"no"
98000,6000,1,"no"
98500,7700,1,"no"
99000,8880,2,"no"
101000,8880,1,"no"
110000,6480,4,"no"
115442,7000,4,"no"
120000,8875,1,"no"
124000,7155,1,"no"
175000,8960,4,"no"
50000,7350,1,"no"
55000,3850,1,"no"
60000,7000,1,"no"
61000,7770,1,"no"
106000,7440,1,"no"
155000,7500,1,"no"
141000,8100,2,"no"
62500,3900,2,"no"
70000,2970,3,"no"
73000,3000,2,"no"
80000,10500,1,"no"
80000,5500,2,"no"
88000,4500,4,"no"
49000,3850,1,"no"
52000,4130,2,"no"
59500,4046,2,"no"
60000,4079,3,"no"
64000,4000,2,"no"
64500,9860,1,"no"
68500,7000,2,"no"
78500,7980,1,"no"
86000,6800,1,"no"
86900,4300,2,"no"
75000,10269,1,"no"
78000,6100,3,"no"
95000,6420,3,"no"
97000,12090,2,"no"
107000,6600,4,"no"
130000,6600,2,"no"
145000,8580,4,"no"
175000,9960,2,"no"
72000,10700,2,"no"
84900,15600,1,"no"
99000,13200,1,"yes"
114000,9000,4,"no"
120000,7950,2,"yes"
145000,16200,2,"no"
79000,6100,1,"no"
82000,6360,1,"no"
85000,6420,1,"no"
100500,6360,3,"no"
122000,6540,2,"no"
126500,6420,2,"no"
133000,6550,2,"no"
140000,5750,4,"no"
190000,7420,3,"no"
84000,7160,1,"no"
97000,4000,2,"no"
103500,9000,4,"no"
112500,6550,2,"no"
140000,13200,2,"no"
74700,7085,1,"no"
78000,6600,2,"no"
78900,6900,1,"no"
83900,11460,3,"no"
85000,7020,1,"no"
85000,6540,1,"no"
86000,8000,1,"no"
86900,9620,1,"no"
94500,10500,1,"no"
96000,5020,4,"no"
106000,7440,4,"no"
72000,6600,1,"no"
74500,7200,2,"no"
77000,6710,2,"no"
80750,6660,2,"no"
82900,7000,1,"no"
85000,7231,2,"no"
92500,7410,1,"no"
76000,7800,1,"no"
77500,6825,1,"no"
80000,6360,3,"no"
80000,6600,1,"no"
86000,6900,1,"no"
87000,6600,1,"no"
87500,6420,3,"no"
89000,6600,1,"no"
89900,6600,3,"no"
90000,9000,1,"no"
95000,6500,3,"no"
112000,6360,4,"no"
31900,5300,1,"no"
52000,2850,2,"no"
90000,6400,1,"no"
1e+05,11175,1,"no"
91700,6750,1,"no"
174500,7500,2,"no"
94700,6000,2,"yes"
68000,10240,1,"no"
80000,5136,2,"no"
61100,3400,2,"no"
62900,2880,2,"no"
65500,3840,2,"no"
66000,2870,2,"no"
49500,5320,1,"no"
50000,3512,1,"no"
53500,3480,1,"no"
58550,3600,1,"no"
64500,3520,2,"no"
65000,5320,2,"no"
69000,6040,1,"no"
73000,11410,2,"no"
75000,8400,2,"no"
75000,5300,1,"no"
132000,7800,2,"no"
60000,3520,2,"no"
65000,5360,2,"no"
69000,6862,2,"no"
51900,3520,1,"no"
57000,4050,2,"no"
65000,3520,1,"no"
79500,4400,2,"no"
72500,5720,2,"no"
104900,11440,2,"no"
114900,7482,3,"yes"
120000,5500,2,"no"
58000,4320,2,"no"
67000,5400,2,"no"
67000,4320,1,"no"
69000,4815,1,"no"
73000,6100,1,"no"
73500,7980,1,"no"
74900,6050,1,"no"
75000,3800,2,"no"
79500,5400,2,"no"
120900,6000,4,"no"
44555,2398,1,"no"
47000,2145,2,"no"
47600,2145,2,"no"
49000,2145,3,"no"
49000,2610,2,"no"
49000,1950,2,"no"
49500,2145,3,"no"
52000,2275,3,"yes"
54000,2856,3,"no"
55000,2015,2,"no"
55000,2176,2,"no"
56000,2145,1,"no"
60000,2145,3,"no"
60500,2787,1,"no"
50000,9500,2,"no"
64900,4990,2,"no"
93000,6670,3,"no"
85000,6254,1,"no"
61500,10360,1,"no"
88500,5500,1,"no"
88000,5450,1,"no"
89000,5500,3,"no"
89500,6000,3,"no"
95000,5700,1,"no"
95500,6600,4,"no"
51500,4000,1,"no"
62900,4880,1,"no"
118500,4880,2,"no"
42900,8050,1,"no"
44100,8100,1,"no"
47000,5880,1,"no"
50000,5880,1,"no"
50000,12944,1,"no"
53000,6020,1,"no"
53000,4050,1,"no"
54000,8400,1,"no"
58500,5600,1,"no"
59000,5985,1,"no"
60000,4500,1,"no"
62900,4920,2,"no"
64000,8250,1,"no"
65000,8400,4,"no"
67900,6440,1,"no"
68500,8100,4,"no"
70000,6720,1,"no"
70500,5948,2,"no"
71500,8150,1,"no"
71900,4800,1,"no"
75000,9800,2,"no"
75000,8520,1,"no"
87000,8372,3,"no"
64000,4040,2,"no"
70000,4646,2,"no"
47500,4775,2,"no"
62600,4950,2,"no"
66000,5010,2,"no"
58900,6060,1,"no"
53000,3584,1,"yes"
95000,6000,3,"no"
96500,6000,4,"no"
101000,6240,2,"no"
102000,6000,2,"no"
103000,7680,4,"no"
105000,6000,4,"no"
108000,6000,4,"no"
110000,6000,4,"no"
113000,6000,4,"no"
120000,7475,4,"no"
105000,5150,4,"no"
106000,6325,4,"no"
107500,6000,4,"no"
108000,6000,3,"no"
113750,6000,4,"no"
120000,7000,4,"no"
70000,12900,1,"no"
71000,7686,1,"yes"
82000,5000,3,"no"
82000,5800,4,"no"
82500,6000,4,"no"
83000,4800,3,"no"
84000,6500,3,"no"
85000,7320,2,"no"
85000,6525,4,"no"
91500,4800,4,"no"
94000,6000,4,"no"
103000,6000,4,"no"
105000,6000,2,"no"
105000,6000,2,"no"
