"subscribed","age","education","balance","loan"
TRUE,56,"primary",3391,"no"
FALSE,27,"primary",0,"no"
TRUE,21,"secondary",2488,"no"
FALSE,58,"tertiary",1517,"no"
FALSE,32,"secondary",217,"yes"
FALSE,33,"secondary",22,"no"
TRUE,25,"secondary",331,"no"
TRUE,25,"secondary",505,"yes"
FALSE,30,"secondary",1808,"no"
FALSE,22,"secondary",4111,"yes"
FALSE,39,"primary",52,"no"
FALSE,46,"tertiary",25,"no"
FALSE,31,"secondary",1890,"no"
FALSE,45,"primary",419,"no"
FALSE,32,"secondary",2693,"no"
FALSE,36,"secondary",-231,"yes"
FALSE,51,"tertiary",-55,"no"
TRUE,34,"tertiary",462,"no"
FALSE,24,"secondary",119,"no"
FALSE,45,"secondary",586,"yes"
FALSE,32,"secondary",228,"no"
TRUE,77,"tertiary",4659,"no"
FALSE,41,"primary",168,"no"
FALSE,37,"primary",0,"no"
FALSE,43,"unknown",-715,"no"
FALSE,48,"unknown",0,"no"
FALSE,27,"secondary",769,"no"
FALSE,33,"tertiary",0,"no"
FALSE,29,"secondary",428,"yes"
FALSE,34,"tertiary",0,"no"
TRUE,52,"tertiary",-970,"no"
FALSE,60,"unknown",6313,"no"
FALSE,32,"tertiary",948,"no"
FALSE,32,"tertiary",0,"no"
FALSE,56,"unknown",1877,"no"
FALSE,31,"tertiary",874,"no"
FALSE,42,"secondary",323,"yes"
FALSE,35,"tertiary",106,"yes"
FALSE,56,"primary",1906,"yes"
FALSE,48,"secondary",1152,"no"
FALSE,46,"secondary",179,"no"
FALSE,37,"unknown",391,"no"
FALSE,41,"unknown",89,"no"
FALSE,36,"tertiary",442,"yes"
FALSE,45,"primary",-249,"yes"
FALSE,55,"secondary",8104,"no"
FALSE,39,"secondary",501,"no"
FALSE,35,"secondary",308,"no"
TRUE,55,"secondary",602,"no"
FALSE,55,"secondary",273,"no"
FALSE,27,"secondary",50,"no"
FALSE,34,"secondary",1641,"no"
FALSE,34,"tertiary",20,"no"
FALSE,25,"secondary",4590,"no"
FALSE,41,"secondary",-256,"yes"
FALSE,43,"secondary",978,"yes"
TRUE,28,"tertiary",80,"no"
FALSE,31,"secondary",2104,"no"
FALSE,78,"secondary",499,"no"
FALSE,45,"secondary",1269,"no"
FALSE,48,"tertiary",310,"no"
FALSE,32,"secondary",1143,"yes"
FALSE,42,"secondary",2980,"no"
FALSE,37,"tertiary",37,"no"
FALSE,40,"secondary",462,"yes"
FALSE,32,"secondary",1031,"no"
FALSE,42,"tertiary",9009,"no"
FALSE,43,"secondary",-465,"yes"
FALSE,44,"secondary",5181,"yes"
FALSE,37,"secondary",176,"no"
FALSE,37,"unknown",1699,"no"
FALSE,37,"tertiary",0,"no"
FALSE,28,"tertiary",172,"yes"
FALSE,32,"secondary",0,"yes"
FALSE,34,"secondary",6979,"no"
FALSE,40,"secondary",6,"no"
FALSE,34,"secondary",-62,"no"
FALSE,34,"tertiary",1972,"no"
FALSE,34,"tertiary",899,"no"
FALSE,37,"secondary",21,"no"
FALSE,36,"secondary",23,"no"
TRUE,56,"secondary",-1206,"no"
FALSE,49,"primary",0,"yes"
FALSE,33,"secondary",215,"no"
FALSE,30,"tertiary",1372,"no"
FALSE,36,"secondary",1981,"no"
FALSE,23,"secondary",9216,"no"
FALSE,57,"secondary",39,"no"
FALSE,27,"secondary",5563,"no"
FALSE,38,"secondary",1,"yes"
FALSE,42,"tertiary",782,"no"
TRUE,75,"secondary",3771,"no"
FALSE,34,"tertiary",992,"no"
FALSE,48,"secondary",1526,"no"
TRUE,35,"tertiary",2658,"no"
FALSE,39,"tertiary",1315,"no"
TRUE,29,"tertiary",455,"no"
FALSE,45,"tertiary",0,"no"
FALSE,42,"secondary",2030,"yes"
FALSE,29,"secondary",1599,"no"
FALSE,38,"secondary",-196,"no"
FALSE,56,"secondary",1333,"no"
FALSE,36,"secondary",9149,"no"
FALSE,25,"secondary",-350,"no"
FALSE,38,"tertiary",432,"no"
FALSE,57,"secondary",11494,"no"
FALSE,31,"tertiary",-253,"no"
TRUE,42,"tertiary",372,"no"
FALSE,45,"secondary",1410,"no"
FALSE,30,"secondary",975,"no"
FALSE,49,"primary",305,"yes"
FALSE,49,"secondary",400,"no"
FALSE,53,"tertiary",-22,"no"
FALSE,37,"secondary",4030,"no"
FALSE,49,"primary",365,"no"
FALSE,41,"primary",204,"no"
FALSE,54,"primary",1691,"no"
FALSE,32,"secondary",406,"no"
FALSE,33,"secondary",-204,"no"
FALSE,33,"secondary",359,"no"
FALSE,36,"primary",123,"no"
FALSE,35,"tertiary",0,"yes"
FALSE,52,"secondary",142,"no"
FALSE,40,"tertiary",3571,"no"
FALSE,44,"secondary",33,"no"
FALSE,45,"secondary",0,"no"
FALSE,30,"secondary",3096,"no"
FALSE,48,"secondary",20,"no"
FALSE,33,"secondary",3576,"no"
FALSE,57,"unknown",206,"no"
FALSE,57,"primary",7082,"no"
FALSE,51,"tertiary",1634,"no"
FALSE,34,"secondary",1,"no"
FALSE,50,"tertiary",4012,"no"
FALSE,44,"tertiary",3762,"no"
FALSE,27,"secondary",-247,"yes"
FALSE,50,"secondary",606,"no"
FALSE,36,"tertiary",0,"no"
FALSE,42,"secondary",-189,"no"
FALSE,32,"secondary",0,"no"
FALSE,42,"tertiary",484,"no"
FALSE,43,"secondary",0,"yes"
FALSE,31,"tertiary",395,"no"
FALSE,32,"tertiary",2349,"no"
FALSE,55,"primary",410,"yes"
FALSE,58,"primary",3401,"no"
FALSE,46,"primary",222,"no"
FALSE,55,"secondary",989,"yes"
FALSE,34,"tertiary",415,"yes"
FALSE,28,"secondary",16,"no"
FALSE,42,"tertiary",7190,"no"
TRUE,29,"secondary",482,"yes"
FALSE,54,"secondary",209,"yes"
FALSE,32,"secondary",0,"no"
FALSE,39,"tertiary",5803,"no"
FALSE,53,"tertiary",624,"yes"
FALSE,58,"tertiary",883,"no"
FALSE,40,"secondary",1516,"yes"
FALSE,29,"secondary",872,"no"
FALSE,33,"tertiary",-988,"yes"
FALSE,38,"secondary",902,"no"
FALSE,56,"secondary",1007,"no"
FALSE,40,"secondary",0,"no"
TRUE,24,"secondary",174,"yes"
FALSE,46,"secondary",12186,"no"
FALSE,35,"secondary",524,"no"
FALSE,35,"tertiary",0,"no"
FALSE,34,"secondary",4,"no"
FALSE,35,"tertiary",11219,"no"
FALSE,38,"tertiary",0,"no"
FALSE,50,"primary",5776,"no"
FALSE,51,"primary",37,"no"
FALSE,59,"tertiary",593,"no"
FALSE,32,"secondary",1148,"no"
FALSE,37,"secondary",3561,"no"
FALSE,42,"secondary",63,"no"
FALSE,40,"secondary",260,"no"
FALSE,28,"tertiary",2269,"no"
FALSE,47,"secondary",1060,"no"
FALSE,27,"secondary",-220,"no"
FALSE,41,"tertiary",49,"no"
TRUE,34,"tertiary",69,"yes"
TRUE,50,"primary",4108,"no"
FALSE,47,"secondary",480,"no"
FALSE,53,"secondary",4994,"no"
FALSE,53,"secondary",0,"yes"
FALSE,47,"tertiary",3681,"no"
TRUE,49,"unknown",-701,"no"
FALSE,29,"tertiary",451,"no"
TRUE,45,"primary",-311,"no"
TRUE,38,"secondary",593,"yes"
TRUE,32,"secondary",759,"no"
FALSE,70,"primary",4531,"no"
FALSE,65,"primary",1840,"no"
FALSE,56,"secondary",345,"no"
FALSE,35,"secondary",1287,"no"
FALSE,56,"unknown",353,"yes"
FALSE,56,"secondary",205,"yes"
TRUE,49,"secondary",687,"no"
FALSE,38,"primary",1147,"yes"
FALSE,35,"tertiary",4286,"no"
FALSE,38,"tertiary",605,"no"
FALSE,49,"secondary",8545,"yes"
FALSE,55,"unknown",559,"no"
FALSE,43,"primary",2,"no"
FALSE,43,"tertiary",2,"yes"
TRUE,25,"tertiary",760,"no"
FALSE,30,"primary",1317,"no"
FALSE,46,"secondary",182,"no"
FALSE,50,"primary",276,"yes"
TRUE,35,"secondary",2971,"no"
FALSE,26,"secondary",1064,"no"
FALSE,45,"unknown",1783,"no"
FALSE,37,"secondary",-67,"no"
FALSE,60,"tertiary",179,"yes"
TRUE,38,"tertiary",1199,"no"
FALSE,47,"primary",214,"yes"
FALSE,33,"secondary",6699,"no"
FALSE,51,"secondary",1760,"yes"
TRUE,35,"tertiary",145,"no"
TRUE,35,"secondary",978,"no"
FALSE,48,"secondary",1150,"no"
FALSE,37,"secondary",121,"no"
FALSE,29,"tertiary",828,"no"
FALSE,34,"secondary",244,"no"
TRUE,32,"primary",228,"no"
TRUE,30,"tertiary",424,"no"
FALSE,47,"tertiary",447,"yes"
FALSE,33,"primary",-195,"no"
FALSE,33,"tertiary",1410,"no"
FALSE,63,"primary",1084,"no"
FALSE,51,"primary",10924,"no"
FALSE,41,"tertiary",832,"yes"
FALSE,56,"tertiary",478,"no"
FALSE,60,"tertiary",0,"yes"
FALSE,41,"tertiary",3950,"no"
FALSE,37,"unknown",504,"no"
FALSE,36,"secondary",219,"yes"
FALSE,57,"tertiary",1602,"no"
TRUE,55,"primary",2587,"no"
FALSE,44,"secondary",0,"yes"
FALSE,47,"tertiary",2303,"no"
FALSE,31,"secondary",1660,"no"
FALSE,35,"tertiary",32,"no"
FALSE,39,"tertiary",278,"yes"
FALSE,50,"tertiary",4,"no"
FALSE,29,"tertiary",318,"no"
FALSE,30,"secondary",209,"no"
FALSE,46,"secondary",271,"no"
FALSE,27,"unknown",3196,"no"
TRUE,48,"secondary",4099,"no"
FALSE,26,"secondary",2572,"no"
FALSE,36,"tertiary",339,"no"
FALSE,42,"primary",0,"yes"
FALSE,50,"primary",395,"no"
FALSE,49,"secondary",2039,"no"
FALSE,45,"tertiary",5450,"no"
FALSE,23,"secondary",780,"no"
FALSE,38,"secondary",0,"no"
FALSE,32,"tertiary",8436,"no"
TRUE,60,"primary",11262,"no"
FALSE,30,"secondary",946,"no"
FALSE,58,"tertiary",497,"no"
FALSE,60,"primary",55,"no"
FALSE,38,"secondary",-140,"no"
FALSE,51,"secondary",-379,"no"
FALSE,42,"secondary",-396,"no"
FALSE,30,"secondary",0,"no"
FALSE,40,"primary",733,"no"
TRUE,37,"tertiary",393,"no"
FALSE,53,"primary",7290,"no"
FALSE,27,"secondary",468,"no"
FALSE,39,"secondary",0,"no"
FALSE,39,"primary",3705,"no"
TRUE,59,"tertiary",9676,"no"
FALSE,37,"secondary",1328,"no"
FALSE,41,"primary",8,"no"
FALSE,45,"primary",61,"no"
FALSE,48,"tertiary",6613,"no"
FALSE,48,"secondary",302,"no"
FALSE,32,"secondary",1005,"no"
FALSE,35,"secondary",109,"no"
FALSE,33,"tertiary",1240,"no"
FALSE,28,"primary",0,"yes"
FALSE,64,"unknown",2923,"no"
FALSE,35,"secondary",0,"no"
FALSE,33,"secondary",43,"no"
FALSE,41,"secondary",288,"no"
FALSE,34,"secondary",613,"no"
FALSE,37,"tertiary",6101,"no"
FALSE,38,"primary",168,"yes"
FALSE,39,"primary",7685,"no"
FALSE,35,"tertiary",4515,"no"
TRUE,28,"secondary",517,"yes"
FALSE,27,"secondary",148,"no"
FALSE,48,"primary",-285,"yes"
FALSE,50,"secondary",887,"no"
FALSE,45,"secondary",3098,"no"
FALSE,41,"tertiary",744,"no"
FALSE,39,"secondary",130,"no"
FALSE,44,"secondary",438,"no"
TRUE,54,"secondary",0,"no"
FALSE,49,"tertiary",322,"no"
FALSE,34,"secondary",186,"no"
TRUE,75,"tertiary",3810,"no"
FALSE,42,"tertiary",0,"no"
FALSE,53,"secondary",4380,"no"
TRUE,49,"tertiary",755,"no"
FALSE,31,"secondary",2070,"no"
FALSE,45,"primary",999,"no"
FALSE,39,"secondary",167,"yes"
FALSE,46,"secondary",1322,"yes"
FALSE,42,"secondary",1076,"no"
FALSE,37,"tertiary",502,"no"
FALSE,26,"tertiary",1216,"no"
FALSE,37,"tertiary",876,"no"
FALSE,36,"secondary",342,"no"
FALSE,29,"primary",950,"no"
FALSE,36,"primary",973,"yes"
FALSE,26,"tertiary",3825,"no"
FALSE,32,"secondary",2366,"no"
FALSE,40,"tertiary",542,"no"
FALSE,53,"primary",995,"no"
FALSE,29,"tertiary",20,"no"
FALSE,34,"tertiary",228,"no"
FALSE,43,"secondary",130,"no"
FALSE,56,"tertiary",217,"yes"
FALSE,55,"tertiary",0,"no"
FALSE,31,"tertiary",259,"no"
FALSE,27,"secondary",619,"no"
FALSE,36,"secondary",644,"no"
FALSE,44,"tertiary",22,"no"
FALSE,37,"tertiary",4303,"no"
FALSE,30,"secondary",239,"no"
FALSE,42,"secondary",275,"no"
TRUE,30,"tertiary",1221,"no"
FALSE,62,"secondary",816,"no"
FALSE,24,"secondary",1222,"no"
FALSE,31,"secondary",2363,"no"
FALSE,66,"tertiary",2262,"no"
FALSE,47,"secondary",2,"no"
FALSE,39,"tertiary",2,"no"
TRUE,35,"secondary",4508,"no"
FALSE,35,"secondary",-402,"no"
FALSE,27,"secondary",1577,"yes"
FALSE,32,"secondary",34,"no"
FALSE,44,"tertiary",795,"no"
FALSE,42,"secondary",117,"no"
TRUE,34,"tertiary",5462,"no"
FALSE,25,"secondary",402,"yes"
FALSE,40,"secondary",641,"no"
FALSE,43,"tertiary",36,"no"
FALSE,55,"tertiary",383,"no"
FALSE,50,"secondary",283,"no"
FALSE,45,"tertiary",0,"no"
FALSE,35,"secondary",3102,"no"
TRUE,32,"secondary",889,"no"
FALSE,59,"secondary",0,"no"
FALSE,34,"secondary",-370,"no"
FALSE,39,"tertiary",-606,"no"
FALSE,40,"secondary",10378,"no"
FALSE,36,"primary",1313,"no"
FALSE,40,"tertiary",8969,"no"
FALSE,55,"secondary",-196,"no"
FALSE,38,"secondary",15,"no"
TRUE,61,"secondary",4608,"no"
FALSE,41,"tertiary",666,"no"
FALSE,57,"primary",452,"no"
FALSE,48,"secondary",149,"no"
TRUE,77,"tertiary",7802,"no"
FALSE,35,"secondary",1453,"no"
FALSE,54,"secondary",1480,"no"
FALSE,37,"unknown",715,"no"
FALSE,56,"secondary",237,"no"
FALSE,40,"secondary",694,"no"
FALSE,40,"tertiary",0,"no"
FALSE,54,"tertiary",55,"no"
FALSE,55,"primary",136,"no"
FALSE,55,"secondary",-404,"no"
FALSE,52,"primary",779,"no"
FALSE,55,"primary",1187,"no"
FALSE,33,"tertiary",641,"no"
FALSE,52,"unknown",826,"no"
FALSE,33,"secondary",991,"no"
TRUE,53,"secondary",1796,"no"
TRUE,46,"secondary",22,"no"
TRUE,44,"secondary",244,"no"
FALSE,48,"tertiary",1328,"no"
FALSE,50,"secondary",7317,"no"
FALSE,34,"secondary",4943,"yes"
FALSE,38,"secondary",258,"yes"
FALSE,42,"tertiary",515,"no"
FALSE,32,"tertiary",12607,"no"
FALSE,58,"secondary",2,"yes"
FALSE,31,"tertiary",13,"no"
TRUE,19,"primary",103,"no"
FALSE,41,"tertiary",3872,"no"
FALSE,31,"secondary",296,"no"
FALSE,52,"primary",217,"yes"
FALSE,42,"tertiary",360,"no"
FALSE,41,"secondary",428,"no"
TRUE,30,"secondary",315,"no"
FALSE,38,"secondary",121,"yes"
FALSE,32,"tertiary",820,"no"
TRUE,52,"secondary",195,"no"
FALSE,48,"tertiary",108,"no"
FALSE,36,"tertiary",-381,"no"
FALSE,45,"primary",757,"no"
FALSE,34,"tertiary",691,"yes"
TRUE,36,"primary",1925,"no"
FALSE,34,"tertiary",902,"no"
FALSE,61,"secondary",5207,"no"
FALSE,54,"secondary",0,"no"
FALSE,50,"secondary",665,"no"
FALSE,43,"secondary",738,"no"
FALSE,47,"primary",233,"no"
FALSE,45,"secondary",-839,"no"
FALSE,57,"primary",5799,"no"
FALSE,27,"secondary",1033,"no"
FALSE,49,"secondary",66,"no"
FALSE,43,"primary",2567,"no"
FALSE,40,"tertiary",1584,"no"
FALSE,32,"secondary",182,"no"
FALSE,58,"primary",76,"no"
FALSE,34,"secondary",663,"no"
FALSE,46,"secondary",3455,"no"
FALSE,29,"secondary",15,"no"
FALSE,52,"primary",1054,"no"
FALSE,45,"tertiary",1529,"no"
FALSE,26,"secondary",63,"no"
FALSE,40,"tertiary",0,"no"
FALSE,41,"secondary",920,"yes"
TRUE,47,"secondary",3696,"no"
FALSE,27,"unknown",59,"no"
FALSE,27,"secondary",0,"no"
FALSE,48,"secondary",157,"no"
FALSE,49,"secondary",2465,"no"
FALSE,35,"primary",0,"no"
FALSE,47,"secondary",2,"no"
FALSE,54,"tertiary",0,"no"
FALSE,39,"tertiary",12437,"no"
FALSE,28,"secondary",378,"no"
FALSE,54,"primary",211,"no"
FALSE,34,"secondary",-228,"no"
FALSE,63,"secondary",2747,"no"
FALSE,42,"tertiary",1932,"no"
FALSE,43,"secondary",11269,"no"
FALSE,37,"secondary",1314,"no"
FALSE,55,"primary",2275,"no"
TRUE,43,"tertiary",1304,"no"
TRUE,41,"secondary",720,"yes"
FALSE,47,"secondary",2914,"no"
FALSE,34,"secondary",1464,"no"
FALSE,28,"secondary",11555,"no"
FALSE,36,"secondary",-302,"no"
FALSE,50,"secondary",2497,"no"
FALSE,35,"secondary",-339,"no"
FALSE,40,"secondary",56,"yes"
FALSE,26,"tertiary",211,"no"
FALSE,36,"tertiary",3611,"no"
FALSE,59,"primary",0,"no"
FALSE,28,"secondary",459,"no"
FALSE,46,"unknown",242,"no"
FALSE,50,"secondary",1138,"no"
FALSE,53,"tertiary",1319,"no"
FALSE,81,"secondary",1,"no"
FALSE,35,"secondary",67,"no"
FALSE,58,"unknown",937,"no"
FALSE,44,"secondary",0,"yes"
FALSE,38,"tertiary",-558,"no"
FALSE,49,"secondary",171,"no"
FALSE,33,"tertiary",696,"yes"
FALSE,29,"tertiary",361,"yes"
TRUE,28,"secondary",227,"no"
FALSE,31,"secondary",236,"yes"
FALSE,33,"tertiary",-53,"no"
FALSE,52,"secondary",192,"no"
FALSE,43,"tertiary",38,"no"
FALSE,32,"secondary",518,"no"
FALSE,36,"tertiary",16,"yes"
FALSE,41,"secondary",-256,"no"
FALSE,43,"secondary",105,"yes"
FALSE,45,"tertiary",334,"no"
FALSE,39,"secondary",1048,"yes"
FALSE,41,"secondary",108,"yes"
FALSE,31,"secondary",660,"no"
FALSE,37,"tertiary",0,"no"
FALSE,28,"unknown",1034,"no"
FALSE,47,"primary",201,"no"
FALSE,37,"primary",189,"no"
FALSE,60,"unknown",-49,"no"
FALSE,43,"secondary",1413,"no"
FALSE,58,"tertiary",264,"yes"
FALSE,52,"tertiary",54,"yes"
FALSE,50,"primary",12519,"no"
TRUE,32,"secondary",2881,"no"
FALSE,42,"primary",0,"no"
FALSE,31,"secondary",88,"yes"
FALSE,28,"secondary",1020,"no"
FALSE,36,"tertiary",119,"no"
FALSE,51,"tertiary",1594,"no"
FALSE,46,"tertiary",342,"yes"
FALSE,50,"secondary",72,"no"
FALSE,32,"secondary",14,"no"
FALSE,26,"tertiary",81,"no"
TRUE,41,"tertiary",231,"no"
FALSE,39,"tertiary",1161,"no"
FALSE,31,"secondary",-45,"no"
FALSE,28,"tertiary",231,"yes"
FALSE,31,"secondary",36,"no"
FALSE,30,"tertiary",1570,"no"
TRUE,35,"tertiary",7050,"no"
FALSE,33,"primary",3704,"no"
FALSE,30,"tertiary",6619,"no"
FALSE,32,"secondary",-84,"no"
FALSE,40,"tertiary",1509,"no"
FALSE,31,"tertiary",1134,"no"
FALSE,36,"secondary",146,"yes"
FALSE,33,"tertiary",9449,"no"
FALSE,57,"secondary",374,"yes"
FALSE,45,"secondary",88,"no"
FALSE,59,"tertiary",2764,"no"
TRUE,30,"tertiary",2,"yes"
FALSE,33,"tertiary",8023,"no"
FALSE,52,"secondary",289,"no"
FALSE,83,"secondary",0,"no"
TRUE,58,"tertiary",1382,"no"
FALSE,33,"tertiary",280,"yes"
FALSE,41,"primary",2195,"no"
FALSE,31,"secondary",33,"no"
FALSE,35,"secondary",275,"yes"
TRUE,27,"tertiary",703,"no"
FALSE,57,"unknown",887,"no"
FALSE,56,"unknown",0,"no"
FALSE,53,"secondary",1178,"no"
TRUE,39,"tertiary",2763,"no"
FALSE,32,"tertiary",890,"yes"
TRUE,46,"secondary",548,"no"
FALSE,56,"tertiary",272,"no"
FALSE,46,"tertiary",6269,"no"
FALSE,29,"secondary",178,"no"
FALSE,60,"primary",252,"yes"
FALSE,33,"tertiary",23663,"no"
FALSE,27,"tertiary",81,"no"
FALSE,50,"tertiary",59,"no"
FALSE,45,"secondary",1343,"yes"
FALSE,58,"secondary",225,"no"
FALSE,59,"primary",0,"no"
FALSE,58,"primary",2538,"no"
FALSE,64,"primary",43,"no"
FALSE,47,"secondary",57,"no"
FALSE,40,"tertiary",-117,"no"
FALSE,36,"secondary",666,"yes"
TRUE,28,"tertiary",0,"no"
TRUE,38,"tertiary",25,"no"
FALSE,53,"primary",1034,"no"
FALSE,46,"secondary",324,"no"
FALSE,54,"secondary",0,"no"
FALSE,32,"tertiary",0,"no"
FALSE,55,"primary",621,"yes"
FALSE,55,"secondary",138,"no"
FALSE,56,"secondary",4063,"yes"
FALSE,40,"secondary",11084,"no"
FALSE,44,"secondary",310,"no"
FALSE,32,"unknown",73,"no"
FALSE,33,"tertiary",1808,"no"
FALSE,41,"secondary",1281,"no"
FALSE,37,"secondary",64,"no"
FALSE,58,"tertiary",2,"no"
FALSE,52,"secondary",60,"yes"
FALSE,49,"secondary",133,"no"
FALSE,44,"primary",3706,"no"
FALSE,28,"unknown",174,"no"
FALSE,31,"secondary",251,"yes"
FALSE,37,"secondary",4153,"no"
FALSE,30,"tertiary",985,"no"
TRUE,28,"secondary",168,"no"
FALSE,46,"secondary",1550,"no"
FALSE,47,"tertiary",7708,"no"
FALSE,35,"primary",-12,"no"
FALSE,80,"primary",6483,"no"
FALSE,30,"tertiary",60,"yes"
FALSE,55,"secondary",3339,"no"
FALSE,22,"tertiary",1161,"yes"
FALSE,33,"primary",599,"no"
FALSE,53,"unknown",28,"no"
FALSE,49,"tertiary",1430,"no"
FALSE,51,"secondary",35,"yes"
FALSE,41,"tertiary",6000,"no"
FALSE,34,"secondary",0,"no"
FALSE,36,"secondary",340,"yes"
FALSE,35,"tertiary",0,"no"
FALSE,29,"secondary",3,"no"
FALSE,40,"tertiary",445,"no"
TRUE,32,"tertiary",874,"no"
FALSE,48,"secondary",705,"no"
TRUE,59,"unknown",1033,"no"
TRUE,35,"tertiary",1354,"no"
FALSE,33,"tertiary",123,"no"
FALSE,55,"primary",8894,"no"
FALSE,41,"secondary",429,"no"
FALSE,42,"primary",14752,"no"
FALSE,46,"primary",67,"no"
FALSE,35,"secondary",39,"no"
FALSE,28,"tertiary",102,"no"
FALSE,25,"secondary",1790,"no"
FALSE,56,"tertiary",15311,"no"
FALSE,30,"secondary",-635,"no"
FALSE,45,"secondary",115,"no"
FALSE,40,"tertiary",10786,"no"
FALSE,40,"secondary",498,"no"
FALSE,39,"secondary",1045,"yes"
FALSE,48,"tertiary",810,"no"
FALSE,31,"tertiary",-162,"no"
FALSE,32,"tertiary",55,"no"
FALSE,34,"secondary",586,"yes"
FALSE,26,"secondary",455,"no"
FALSE,31,"tertiary",1010,"no"
FALSE,37,"tertiary",509,"no"
FALSE,29,"unknown",2929,"no"
FALSE,57,"secondary",3071,"yes"
FALSE,47,"tertiary",153,"no"
FALSE,38,"secondary",1146,"no"
FALSE,48,"primary",1092,"yes"
TRUE,50,"tertiary",3463,"yes"
FALSE,33,"secondary",1158,"no"
FALSE,28,"secondary",26,"no"
FALSE,30,"secondary",566,"no"
FALSE,52,"secondary",204,"no"
TRUE,36,"secondary",480,"no"
FALSE,36,"secondary",1855,"no"
FALSE,46,"secondary",1034,"no"
FALSE,57,"tertiary",3250,"no"
TRUE,28,"secondary",1633,"no"
FALSE,46,"secondary",0,"no"
TRUE,55,"primary",3334,"no"
