"subscribed","age","job","marital","education","default","balance","loan","contact","campaign"
FALSE,51,"blue-collar","married","primary","no",1466,"no","unknown",2
FALSE,41,"technician","single","secondary","no",879,"yes","cellular",4
FALSE,35,"blue-collar","single","primary","no",293,"no","unknown",2
FALSE,38,"admin.","married","secondary","no",424,"no","cellular",1
FALSE,34,"blue-collar","married","secondary","no",1831,"no","unknown",2
FALSE,39,"blue-collar","married","primary","no",111,"no","cellular",2
FALSE,34,"blue-collar","married","primary","no",455,"no","unknown",3
TRUE,27,"services","single","secondary","no",-195,"no","cellular",1
FALSE,32,"management","single","tertiary","no",3616,"no","cellular",2
FALSE,57,"blue-collar","married","secondary","no",14093,"no","cellular",5
FALSE,41,"unknown","single","tertiary","no",1567,"no","cellular",2
FALSE,41,"admin.","married","tertiary","no",5426,"no","unknown",2
FALSE,30,"admin.","single","tertiary","no",261,"no","cellular",1
FALSE,36,"blue-collar","divorced","secondary","no",2843,"no","cellular",1
TRUE,31,"unemployed","single","primary","no",406,"no","cellular",1
FALSE,36,"blue-collar","married","secondary","no",0,"no","unknown",1
FALSE,38,"management","single","tertiary","no",493,"no","cellular",1
FALSE,49,"technician","married","secondary","no",5996,"no","telephone",2
FALSE,57,"services","single","primary","no",3777,"no","telephone",2
FALSE,34,"management","single","secondary","no",524,"no","unknown",1
FALSE,32,"management","single","tertiary","no",574,"no","cellular",2
FALSE,37,"blue-collar","married","secondary","no",427,"yes","unknown",3
FALSE,33,"self-employed","married","tertiary","no",483,"no","cellular",2
TRUE,56,"unemployed","married","primary","no",3391,"no","cellular",1
FALSE,27,"housemaid","married","primary","no",0,"no","cellular",3
TRUE,21,"student","single","secondary","no",2488,"no","cellular",6
FALSE,58,"management","married","tertiary","no",1517,"no","telephone",5
FALSE,32,"self-employed","married","secondary","no",217,"yes","cellular",5
FALSE,33,"blue-collar","single","secondary","no",22,"no","cellular",2
TRUE,25,"student","single","secondary","no",331,"no","telephone",4
TRUE,25,"technician","single","secondary","no",505,"yes","cellular",2
FALSE,30,"services","married","secondary","no",1808,"no","cellular",2
FALSE,22,"admin.","single","secondary","no",4111,"yes","cellular",1
FALSE,39,"blue-collar","married","primary","no",52,"no","cellular",1
FALSE,46,"management","divorced","tertiary","no",25,"no","unknown",2
FALSE,31,"admin.","divorced","secondary","no",1890,"no","cellular",1
FALSE,45,"blue-collar","married","primary","no",419,"no","cellular",4
FALSE,32,"technician","married","secondary","no",2693,"no","unknown",1
FALSE,36,"blue-collar","married","secondary","no",-231,"yes","cellular",2
FALSE,51,"management","single","tertiary","yes",-55,"no","cellular",2
TRUE,34,"self-employed","single","tertiary","no",462,"no","cellular",3
FALSE,24,"unemployed","single","secondary","no",119,"no","unknown",1
FALSE,45,"technician","single","secondary","no",586,"yes","cellular",3
FALSE,32,"blue-collar","single","secondary","no",228,"no","telephone",1
TRUE,77,"retired","divorced","tertiary","no",4659,"no","cellular",1
FALSE,41,"blue-collar","married","primary","no",168,"no","cellular",3
FALSE,37,"blue-collar","married","primary","no",0,"no","unknown",1
FALSE,43,"blue-collar","married","unknown","yes",-715,"no","unknown",3
FALSE,48,"admin.","married","unknown","no",0,"no","cellular",1
FALSE,27,"technician","single","secondary","no",769,"no","unknown",2
FALSE,33,"management","single","tertiary","no",0,"no","cellular",10
FALSE,29,"admin.","single","secondary","no",428,"yes","cellular",1
FALSE,34,"management","single","tertiary","no",0,"no","cellular",1
TRUE,52,"management","married","tertiary","no",-970,"no","cellular",1
FALSE,60,"management","married","unknown","no",6313,"no","unknown",2
FALSE,32,"management","divorced","tertiary","no",948,"no","cellular",2
FALSE,32,"management","single","tertiary","no",0,"no","cellular",2
FALSE,56,"services","divorced","unknown","no",1877,"no","unknown",1
FALSE,31,"management","single","tertiary","no",874,"no","cellular",2
FALSE,42,"admin.","married","secondary","no",323,"yes","unknown",2
FALSE,35,"management","married","tertiary","no",106,"yes","cellular",2
FALSE,56,"retired","married","primary","no",1906,"yes","unknown",9
FALSE,48,"technician","married","secondary","no",1152,"no","cellular",5
FALSE,46,"admin.","married","secondary","no",179,"no","cellular",4
FALSE,37,"technician","single","unknown","no",391,"no","unknown",3
FALSE,41,"entrepreneur","married","unknown","no",89,"no","unknown",2
FALSE,36,"management","single","tertiary","no",442,"yes","cellular",3
FALSE,45,"unemployed","divorced","primary","yes",-249,"yes","unknown",1
FALSE,55,"entrepreneur","married","secondary","no",8104,"no","cellular",2
FALSE,39,"technician","married","secondary","no",501,"no","unknown",1
FALSE,35,"technician","divorced","secondary","no",308,"no","cellular",2
TRUE,55,"admin.","married","secondary","no",602,"no","cellular",3
FALSE,55,"technician","married","secondary","no",273,"no","cellular",3
FALSE,27,"self-employed","single","secondary","no",50,"no","cellular",1
FALSE,34,"technician","married","secondary","no",1641,"no","cellular",1
FALSE,34,"blue-collar","married","tertiary","no",20,"no","unknown",1
FALSE,25,"admin.","single","secondary","no",4590,"no","unknown",2
FALSE,41,"admin.","single","secondary","no",-256,"yes","unknown",3
FALSE,43,"services","married","secondary","no",978,"yes","unknown",2
TRUE,28,"management","single","tertiary","no",80,"no","cellular",2
FALSE,31,"admin.","single","secondary","no",2104,"no","unknown",1
FALSE,78,"housemaid","married","secondary","no",499,"no","telephone",4
FALSE,45,"blue-collar","divorced","secondary","no",1269,"no","cellular",2
FALSE,48,"technician","married","tertiary","no",310,"no","unknown",1
FALSE,32,"blue-collar","single","secondary","no",1143,"yes","cellular",1
FALSE,42,"technician","married","secondary","no",2980,"no","unknown",3
FALSE,37,"management","single","tertiary","no",37,"no","cellular",2
FALSE,40,"admin.","single","secondary","no",462,"yes","cellular",1
FALSE,32,"admin.","married","secondary","no",1031,"no","cellular",1
FALSE,42,"management","married","tertiary","no",9009,"no","cellular",2
FALSE,43,"admin.","married","secondary","no",-465,"yes","cellular",1
FALSE,44,"admin.","married","secondary","no",5181,"yes","cellular",7
FALSE,37,"admin.","married","secondary","no",176,"no","cellular",2
FALSE,37,"unknown","married","unknown","no",1699,"no","unknown",1
FALSE,37,"admin.","married","tertiary","no",0,"no","cellular",2
FALSE,28,"technician","single","tertiary","no",172,"yes","cellular",2
FALSE,32,"services","single","secondary","no",0,"yes","cellular",2
FALSE,34,"admin.","single","secondary","no",6979,"no","cellular",5
FALSE,40,"admin.","divorced","secondary","no",6,"no","unknown",1
FALSE,34,"services","married","secondary","no",-62,"no","unknown",3
FALSE,34,"self-employed","married","tertiary","no",1972,"no","cellular",2
FALSE,34,"admin.","married","tertiary","no",899,"no","telephone",3
FALSE,37,"services","single","secondary","no",21,"no","cellular",1
FALSE,36,"technician","married","secondary","no",23,"no","cellular",2
TRUE,56,"retired","married","secondary","no",-1206,"no","cellular",2
FALSE,49,"blue-collar","married","primary","no",0,"yes","telephone",6
FALSE,33,"self-employed","married","secondary","no",215,"no","cellular",12
FALSE,30,"management","single","tertiary","no",1372,"no","cellular",2
FALSE,36,"services","married","secondary","no",1981,"no","unknown",2
FALSE,23,"student","single","secondary","no",9216,"no","cellular",2
FALSE,57,"retired","divorced","secondary","no",39,"no","cellular",3
FALSE,27,"blue-collar","single","secondary","no",5563,"no","unknown",2
FALSE,38,"services","married","secondary","no",1,"yes","cellular",2
FALSE,42,"technician","married","tertiary","no",782,"no","cellular",1
TRUE,75,"retired","married","secondary","no",3771,"no","telephone",1
FALSE,34,"technician","single","tertiary","no",992,"no","cellular",1
FALSE,48,"technician","married","secondary","no",1526,"no","cellular",2
TRUE,35,"technician","single","tertiary","no",2658,"no","cellular",2
FALSE,39,"management","divorced","tertiary","no",1315,"no","cellular",4
TRUE,29,"blue-collar","single","tertiary","no",455,"no","telephone",1
FALSE,45,"technician","single","tertiary","no",0,"no","cellular",2
FALSE,42,"technician","married","secondary","no",2030,"yes","cellular",1
FALSE,29,"technician","married","secondary","no",1599,"no","cellular",1
FALSE,38,"services","single","secondary","no",-196,"no","cellular",1
FALSE,56,"retired","married","secondary","no",1333,"no","cellular",14
FALSE,36,"technician","single","secondary","no",9149,"no","cellular",3
FALSE,25,"blue-collar","single","secondary","no",-350,"no","unknown",3
FALSE,38,"technician","married","tertiary","no",432,"no","cellular",2
FALSE,57,"self-employed","married","secondary","no",11494,"no","cellular",1
FALSE,31,"management","married","tertiary","yes",-253,"no","cellular",4
TRUE,42,"management","married","tertiary","no",372,"no","cellular",2
FALSE,45,"technician","married","secondary","no",1410,"no","cellular",2
FALSE,30,"blue-collar","married","secondary","no",975,"no","cellular",2
FALSE,49,"blue-collar","married","primary","no",305,"yes","telephone",10
FALSE,49,"services","married","secondary","no",400,"no","cellular",3
FALSE,53,"retired","married","tertiary","no",-22,"no","cellular",3
FALSE,37,"technician","married","secondary","no",4030,"no","unknown",5
FALSE,49,"blue-collar","married","primary","no",365,"no","unknown",2
FALSE,41,"self-employed","married","primary","no",204,"no","cellular",7
FALSE,54,"management","married","primary","no",1691,"no","cellular",1
FALSE,32,"services","single","secondary","no",406,"no","unknown",1
FALSE,33,"technician","married","secondary","no",-204,"no","cellular",3
FALSE,33,"technician","married","secondary","no",359,"no","cellular",1
FALSE,36,"blue-collar","married","primary","no",123,"no","cellular",1
FALSE,35,"technician","married","tertiary","no",0,"yes","cellular",1
FALSE,52,"unknown","married","secondary","no",142,"no","cellular",6
FALSE,40,"entrepreneur","married","tertiary","no",3571,"no","unknown",3
FALSE,44,"technician","single","secondary","no",33,"no","cellular",3
FALSE,45,"blue-collar","single","secondary","no",0,"no","cellular",2
FALSE,30,"student","single","secondary","no",3096,"no","cellular",1
FALSE,48,"technician","divorced","secondary","yes",20,"no","cellular",3
FALSE,33,"blue-collar","married","secondary","no",3576,"no","cellular",1
FALSE,57,"technician","married","unknown","no",206,"no","unknown",3
FALSE,57,"housemaid","married","primary","no",7082,"no","unknown",3
FALSE,51,"unemployed","married","tertiary","no",1634,"no","cellular",4
FALSE,34,"admin.","single","secondary","no",1,"no","cellular",7
FALSE,50,"self-employed","married","tertiary","no",4012,"no","cellular",3
FALSE,44,"management","married","tertiary","no",3762,"no","cellular",12
FALSE,27,"admin.","married","secondary","no",-247,"yes","unknown",2
FALSE,50,"blue-collar","married","secondary","no",606,"no","unknown",2
FALSE,36,"management","married","tertiary","no",0,"no","cellular",1
FALSE,42,"management","married","secondary","no",-189,"no","unknown",2
FALSE,32,"unemployed","single","secondary","no",0,"no","cellular",2
FALSE,42,"management","married","tertiary","no",484,"no","cellular",2
FALSE,43,"technician","married","secondary","no",0,"yes","cellular",2
FALSE,31,"management","married","tertiary","no",395,"no","cellular",3
FALSE,32,"management","married","tertiary","no",2349,"no","cellular",5
FALSE,55,"blue-collar","divorced","primary","no",410,"yes","cellular",2
FALSE,58,"retired","married","primary","no",3401,"no","cellular",3
FALSE,46,"blue-collar","married","primary","no",222,"no","cellular",2
FALSE,55,"blue-collar","married","secondary","no",989,"yes","unknown",4
FALSE,34,"management","married","tertiary","no",415,"yes","cellular",2
FALSE,28,"unemployed","single","secondary","no",16,"no","cellular",4
FALSE,42,"technician","divorced","tertiary","no",7190,"no","cellular",2
TRUE,29,"blue-collar","single","secondary","no",482,"yes","cellular",3
FALSE,54,"housemaid","married","secondary","no",209,"yes","cellular",1
FALSE,32,"technician","single","secondary","no",0,"no","cellular",2
FALSE,39,"technician","single","tertiary","no",5803,"no","cellular",3
FALSE,53,"entrepreneur","married","tertiary","no",624,"yes","cellular",4
FALSE,58,"technician","married","tertiary","no",883,"no","cellular",1
FALSE,40,"self-employed","married","secondary","no",1516,"yes","unknown",1
FALSE,29,"student","single","secondary","no",872,"no","unknown",1
FALSE,33,"technician","married","tertiary","no",-988,"yes","cellular",3
FALSE,38,"admin.","single","secondary","no",902,"no","telephone",13
FALSE,56,"services","divorced","secondary","no",1007,"no","cellular",6
FALSE,40,"services","married","secondary","no",0,"no","cellular",1
TRUE,24,"blue-collar","single","secondary","no",174,"yes","cellular",1
FALSE,46,"management","married","secondary","no",12186,"no","unknown",3
FALSE,35,"self-employed","married","secondary","no",524,"no","cellular",4
FALSE,35,"blue-collar","single","tertiary","no",0,"no","cellular",4
FALSE,34,"technician","married","secondary","no",4,"no","unknown",1
FALSE,35,"housemaid","married","tertiary","no",11219,"no","cellular",2
FALSE,38,"technician","single","tertiary","no",0,"no","cellular",2
FALSE,50,"blue-collar","married","primary","no",5776,"no","cellular",3
FALSE,51,"blue-collar","divorced","primary","no",37,"no","cellular",1
FALSE,59,"self-employed","married","tertiary","no",593,"no","unknown",2
FALSE,32,"blue-collar","married","secondary","no",1148,"no","cellular",1
FALSE,37,"blue-collar","single","secondary","no",3561,"no","unknown",1
FALSE,42,"admin.","divorced","secondary","no",63,"no","unknown",6
FALSE,40,"student","married","secondary","no",260,"no","unknown",6
FALSE,28,"technician","single","tertiary","no",2269,"no","unknown",1
FALSE,47,"admin.","married","secondary","no",1060,"no","unknown",3
FALSE,27,"self-employed","married","secondary","no",-220,"no","unknown",2
FALSE,41,"management","married","tertiary","no",49,"no","cellular",5
TRUE,34,"admin.","married","tertiary","no",69,"yes","cellular",3
TRUE,50,"blue-collar","married","primary","no",4108,"no","cellular",2
FALSE,47,"blue-collar","married","secondary","no",480,"no","unknown",2
FALSE,53,"services","married","secondary","no",4994,"no","cellular",6
FALSE,53,"technician","divorced","secondary","no",0,"yes","cellular",5
FALSE,47,"management","married","tertiary","no",3681,"no","cellular",2
TRUE,49,"entrepreneur","divorced","unknown","yes",-701,"no","cellular",2
FALSE,29,"management","married","tertiary","no",451,"no","cellular",1
TRUE,45,"blue-collar","divorced","primary","no",-311,"no","unknown",1
TRUE,38,"entrepreneur","married","secondary","no",593,"yes","cellular",24
TRUE,32,"blue-collar","married","secondary","no",759,"no","cellular",5
FALSE,70,"retired","divorced","primary","no",4531,"no","cellular",1
FALSE,65,"retired","divorced","primary","no",1840,"no","cellular",2
FALSE,56,"blue-collar","married","secondary","no",345,"no","telephone",1
FALSE,35,"blue-collar","married","secondary","no",1287,"no","cellular",2
FALSE,56,"management","married","unknown","no",353,"yes","cellular",2
FALSE,56,"technician","married","secondary","no",205,"yes","cellular",2
TRUE,49,"entrepreneur","married","secondary","no",687,"no","cellular",1
FALSE,38,"unemployed","married","primary","no",1147,"yes","unknown",5
FALSE,35,"management","married","tertiary","no",4286,"no","unknown",1
FALSE,38,"admin.","married","tertiary","no",605,"no","cellular",2
FALSE,49,"blue-collar","married","secondary","no",8545,"yes","cellular",7
FALSE,55,"management","married","unknown","no",559,"no","cellular",2
FALSE,43,"blue-collar","single","primary","no",2,"no","cellular",3
FALSE,43,"management","married","tertiary","no",2,"yes","cellular",2
TRUE,25,"admin.","single","tertiary","no",760,"no","cellular",3
FALSE,30,"blue-collar","married","primary","no",1317,"no","unknown",2
FALSE,46,"blue-collar","married","secondary","no",182,"no","cellular",1
FALSE,50,"admin.","married","primary","no",276,"yes","unknown",6
TRUE,35,"entrepreneur","married","secondary","no",2971,"no","cellular",4
FALSE,26,"unemployed","single","secondary","no",1064,"no","unknown",1
FALSE,45,"admin.","married","unknown","no",1783,"no","unknown",11
FALSE,37,"blue-collar","married","secondary","no",-67,"no","cellular",1
FALSE,60,"self-employed","single","tertiary","no",179,"yes","cellular",4
TRUE,38,"management","married","tertiary","no",1199,"no","cellular",1
FALSE,47,"blue-collar","married","primary","no",214,"yes","unknown",1
FALSE,33,"technician","married","secondary","no",6699,"no","cellular",1
FALSE,51,"unemployed","married","secondary","no",1760,"yes","cellular",1
TRUE,35,"entrepreneur","single","tertiary","no",145,"no","cellular",2
TRUE,35,"unemployed","married","secondary","no",978,"no","cellular",3
FALSE,48,"admin.","single","secondary","no",1150,"no","unknown",1
FALSE,37,"admin.","married","secondary","no",121,"no","cellular",6
FALSE,29,"technician","single","tertiary","no",828,"no","cellular",3
FALSE,34,"admin.","married","secondary","no",244,"no","cellular",4
TRUE,32,"services","married","primary","no",228,"no","cellular",6
TRUE,30,"management","single","tertiary","no",424,"no","cellular",4
FALSE,47,"management","divorced","tertiary","no",447,"yes","unknown",1
FALSE,33,"blue-collar","married","primary","no",-195,"no","unknown",1
FALSE,33,"management","single","tertiary","no",1410,"no","cellular",1
FALSE,63,"retired","married","primary","no",1084,"no","cellular",1
FALSE,51,"self-employed","divorced","primary","no",10924,"no","cellular",2
FALSE,41,"management","married","tertiary","no",832,"yes","cellular",1
FALSE,56,"retired","married","tertiary","no",478,"no","cellular",1
FALSE,60,"management","single","tertiary","no",0,"yes","cellular",1
FALSE,41,"self-employed","single","tertiary","no",3950,"no","unknown",2
FALSE,37,"management","single","unknown","no",504,"no","cellular",1
FALSE,36,"blue-collar","single","secondary","no",219,"yes","cellular",2
FALSE,57,"management","married","tertiary","no",1602,"no","cellular",3
TRUE,55,"management","married","primary","no",2587,"no","cellular",2
FALSE,44,"admin.","married","secondary","no",0,"yes","unknown",1
FALSE,47,"self-employed","married","tertiary","no",2303,"no","cellular",2
FALSE,31,"blue-collar","married","secondary","no",1660,"no","cellular",1
FALSE,35,"management","married","tertiary","yes",32,"no","cellular",1
FALSE,39,"management","married","tertiary","no",278,"yes","cellular",3
FALSE,50,"management","married","tertiary","no",4,"no","cellular",1
FALSE,29,"management","married","tertiary","no",318,"no","cellular",2
FALSE,30,"services","single","secondary","no",209,"no","unknown",2
FALSE,46,"services","married","secondary","no",271,"no","unknown",4
FALSE,27,"management","single","unknown","no",3196,"no","cellular",2
TRUE,48,"admin.","divorced","secondary","no",4099,"no","cellular",2
FALSE,26,"student","single","secondary","no",2572,"no","cellular",1
FALSE,36,"management","single","tertiary","no",339,"no","cellular",6
FALSE,42,"blue-collar","married","primary","no",0,"yes","cellular",2
FALSE,50,"housemaid","married","primary","no",395,"no","unknown",2
FALSE,49,"blue-collar","married","secondary","no",2039,"no","cellular",2
FALSE,45,"management","married","tertiary","no",5450,"no","cellular",2
FALSE,23,"student","single","secondary","no",780,"no","cellular",1
FALSE,38,"technician","single","secondary","no",0,"no","cellular",2
FALSE,32,"management","single","tertiary","no",8436,"no","cellular",1
TRUE,60,"technician","single","primary","no",11262,"no","cellular",1
FALSE,30,"entrepreneur","married","secondary","no",946,"no","cellular",1
FALSE,58,"housemaid","married","tertiary","no",497,"no","unknown",5
FALSE,60,"retired","married","primary","no",55,"no","cellular",1
FALSE,38,"services","married","secondary","no",-140,"no","unknown",3
FALSE,51,"technician","married","secondary","no",-379,"no","cellular",1
FALSE,42,"admin.","married","secondary","no",-396,"no","cellular",1
FALSE,30,"services","single","secondary","no",0,"no","cellular",6
FALSE,40,"management","married","primary","no",733,"no","unknown",7
TRUE,37,"management","married","tertiary","no",393,"no","cellular",3
FALSE,53,"technician","divorced","primary","no",7290,"no","unknown",1
FALSE,27,"services","single","secondary","no",468,"no","cellular",1
FALSE,39,"blue-collar","married","secondary","no",0,"no","cellular",1
FALSE,39,"blue-collar","married","primary","no",3705,"no","unknown",1
TRUE,59,"retired","married","tertiary","no",9676,"no","telephone",2
FALSE,37,"services","married","secondary","no",1328,"no","telephone",2
FALSE,41,"blue-collar","married","primary","no",8,"no","cellular",2
FALSE,45,"blue-collar","married","primary","no",61,"no","cellular",1
FALSE,48,"management","married","tertiary","no",6613,"no","unknown",3
FALSE,48,"technician","married","secondary","no",302,"no","unknown",3
FALSE,32,"blue-collar","married","secondary","no",1005,"no","cellular",1
FALSE,35,"services","married","secondary","no",109,"no","unknown",3
FALSE,33,"management","single","tertiary","no",1240,"no","cellular",2
FALSE,28,"blue-collar","single","primary","no",0,"yes","unknown",4
FALSE,64,"retired","married","unknown","no",2923,"no","cellular",1
FALSE,35,"technician","married","secondary","no",0,"no","cellular",4
FALSE,33,"blue-collar","married","secondary","no",43,"no","cellular",2
FALSE,41,"technician","married","secondary","no",288,"no","unknown",4
FALSE,34,"admin.","married","secondary","no",613,"no","cellular",1
FALSE,37,"technician","single","tertiary","no",6101,"no","cellular",5
FALSE,38,"blue-collar","married","primary","no",168,"yes","telephone",3
FALSE,39,"blue-collar","married","primary","no",7685,"no","cellular",3
FALSE,35,"technician","divorced","tertiary","no",4515,"no","cellular",2
TRUE,28,"blue-collar","single","secondary","no",517,"yes","cellular",1
FALSE,27,"blue-collar","single","secondary","no",148,"no","cellular",1
FALSE,48,"retired","married","primary","yes",-285,"yes","cellular",1
FALSE,50,"blue-collar","married","secondary","no",887,"no","unknown",1
FALSE,45,"self-employed","married","secondary","no",3098,"no","cellular",2
FALSE,41,"technician","married","tertiary","no",744,"no","unknown",1
FALSE,39,"technician","married","secondary","no",130,"no","cellular",2
FALSE,44,"management","married","secondary","no",438,"no","telephone",3
TRUE,54,"admin.","married","secondary","no",0,"no","cellular",1
FALSE,49,"management","married","tertiary","no",322,"no","cellular",4
FALSE,34,"blue-collar","single","secondary","no",186,"no","cellular",1
TRUE,75,"retired","divorced","tertiary","no",3810,"no","cellular",1
FALSE,42,"management","married","tertiary","no",0,"no","cellular",2
FALSE,53,"blue-collar","married","secondary","no",4380,"no","telephone",7
TRUE,49,"management","divorced","tertiary","no",755,"no","cellular",4
FALSE,31,"services","single","secondary","no",2070,"no","cellular",2
FALSE,45,"blue-collar","single","primary","no",999,"no","cellular",2
FALSE,39,"self-employed","married","secondary","no",167,"yes","cellular",1
FALSE,46,"technician","married","secondary","no",1322,"yes","cellular",1
FALSE,42,"admin.","divorced","secondary","no",1076,"no","unknown",1
FALSE,37,"management","married","tertiary","no",502,"no","cellular",1
FALSE,26,"technician","single","tertiary","no",1216,"no","cellular",2
FALSE,37,"management","single","tertiary","no",876,"no","cellular",4
FALSE,36,"services","single","secondary","no",342,"no","unknown",1
FALSE,29,"blue-collar","single","primary","no",950,"no","unknown",3
FALSE,36,"blue-collar","married","primary","no",973,"yes","unknown",1
FALSE,26,"technician","married","tertiary","no",3825,"no","unknown",1
FALSE,32,"blue-collar","married","secondary","no",2366,"no","unknown",2
FALSE,40,"management","married","tertiary","no",542,"no","cellular",1
FALSE,53,"management","married","primary","no",995,"no","cellular",3
FALSE,29,"management","married","tertiary","no",20,"no","cellular",1
FALSE,34,"technician","single","tertiary","no",228,"no","cellular",4
FALSE,43,"blue-collar","married","secondary","no",130,"no","cellular",1
FALSE,56,"management","married","tertiary","no",217,"yes","cellular",2
FALSE,55,"entrepreneur","divorced","tertiary","no",0,"no","unknown",2
FALSE,31,"self-employed","married","tertiary","no",259,"no","cellular",1
FALSE,27,"admin.","single","secondary","no",619,"no","cellular",5
